Store URL;Category;Product URL;Name;Image URL;Large Image URL;Price;Original Price
https://sbermarket.ru/metro/c/priedlozhieniia;;https://sbermarket.ru/metro/vodka-mamont-700-ml-8aba33c?sid=1;Водка Mamont 700 мл;https://sbermarket.ru/_next/static/media/adult-warning-ca7fc32e.svg;;Цена со скидкой за 1 шт.1 469,00 ₽;Цена без скидки за 1 шт.1 679,00 ₽
https://sbermarket.ru/metro/c/priedlozhieniia;;https://sbermarket.ru/metro/vino-mucho-mas-tempranillo-krasnoe-suhoe-750-ml-ispaniya-92732a2?sid=1;Вино Mucho Mas Tempranillo красное сухое 750 мл Испания;https://sbermarket.ru/_next/static/media/adult-warning-ca7fc32e.svg;;Цена со скидкой за 1 шт.899,00 ₽;Цена без скидки за 1 шт.999,00 ₽
https://sbermarket.ru/metro/c/priedlozhieniia;;https://sbermarket.ru/metro/vino-igristoe-mondoro-beloe-sladkoe-750-ml-italiya-93ed2c3?sid=1;Вино игристое Mondoro белое сладкое 750 мл Италия;https://sbermarket.ru/_next/static/media/adult-warning-ca7fc32e.svg;;Цена со скидкой за 1 шт.1 199,02 ₽;Цена без скидки за 1 шт.1 699,00 ₽
https://sbermarket.ru/metro/c/priedlozhieniia;;https://sbermarket.ru/metro/vinogradosoderzhaschiy-napitok-martini-fiero-krasnyy-sladkiy-1-l-italiya-tonik-rich-330-ml-h-2-sht-8292438?sid=1;Виноградосодержащий напиток Martini Fiero красный сладкий 1...;https://sbermarket.ru/_next/static/media/adult-warning-ca7fc32e.svg;;Цена со скидкой за 1 шт.1 199,00 ₽;Цена без скидки за 1 шт.1 679,00 ₽
https://sbermarket.ru/metro/c/priedlozhieniia;;https://sbermarket.ru/metro/pivo-krusovice-svetloe-fil-trovannoe-pasterizovannoe-430-ml-5a4cd5a?sid=1;Пиво Krusovice светлое фильтрованное пастеризованное 430 мл;https://sbermarket.ru/_next/static/media/adult-warning-ca7fc32e.svg;;Цена со скидкой за 1 шт.59,90 ₽;Цена без скидки за 1 шт.73,90 ₽
https://sbermarket.ru/metro/c/priedlozhieniia;;https://sbermarket.ru/metro/sidr-bon-season-yablochnyy-belyy-sladkiy-430-ml-rossiya-4d13313?sid=1;Сидр Bon Season яблочный белый сладкий 430 мл Россия;https://sbermarket.ru/_next/static/media/adult-warning-ca7fc32e.svg;;Цена со скидкой за 1 шт.69,90 ₽;Цена без скидки за 1 шт.89,90 ₽
https://sbermarket.ru/metro/c/priedlozhieniia;;https://sbermarket.ru/metro/goroshek-heinz-zelenyy-400-g-2539913?sid=1;Горошек Heinz зеленый 400 г;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE2NTYzOTUxL29yaWdpbmFsLzEvMjAyMy0xMS0zMFQxOCUzQTQ4JTNBNDUuNjM1Nzg4JTJCMDAlM0EwMC8xNjU2Mzk1MV8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE2NTYzOTUxL29yaWdpbmFsLzEvMjAyMy0xMS0zMFQxOCUzQTQ4JTNBNDUuNjM1Nzg4JTJCMDAlM0EwMC8xNjU2Mzk1MV8xLmpwZw==.jpg;Цена со скидкой за 1 шт.109,00 ₽;Цена без скидки за 1 шт.129,00 ₽
https://sbermarket.ru/metro/c/priedlozhieniia;;https://sbermarket.ru/metro/drazhe-m-m-s-s-arahisom-i-molochnym-shokoladom-80-g?sid=1;Драже M&M's с арахисом и молочным шоколадом 80 г;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE1MDYxMDkwL29yaWdpbmFsLzEvMjAyMy0xMS0zMFQxOCUzQTM3JTNBNDEuNzI5Nzk1JTJCMDAlM0EwMC8xNTA2MTA5MF8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE1MDYxMDkwL29yaWdpbmFsLzEvMjAyMy0xMS0zMFQxOCUzQTM3JTNBNDEuNzI5Nzk1JTJCMDAlM0EwMC8xNTA2MTA5MF8xLmpwZw==.jpg;Цена со скидкой за 1 шт.114,00 ₽;Цена без скидки за 1 шт.120,00 ₽
https://sbermarket.ru/metro/c/priedlozhieniia;;https://sbermarket.ru/metro/moloko-3-5-ul-trapasterizovannoe-1-l-parmalat-bzmzh-70f79c0?sid=1;Молоко 3,5% ультрапастеризованное 1 л Parmalat БЗМЖ;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE5NjUyNzMwL29yaWdpbmFsLzEvMjAyMy0xMS0yOFQxNyUzQTUwJTNBNTMuMTE2ODM5JTJCMDAlM0EwMC8xOTY1MjczMF8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE5NjUyNzMwL29yaWdpbmFsLzEvMjAyMy0xMS0yOFQxNyUzQTUwJTNBNTMuMTE2ODM5JTJCMDAlM0EwMC8xOTY1MjczMF8xLmpwZw==.jpg;Цена со скидкой за 1 шт.109,00 ₽;Цена без скидки за 1 шт.116,00 ₽
https://sbermarket.ru/metro/c/priedlozhieniia;;https://sbermarket.ru/metro/naggetsy-kurinye-miratorg-klassicheskie-zamorozhennye-300-g-eef7eea?sid=1;Наггетсы куриные Мираторг Классические замороженные 300 г;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE3MDk1L29yaWdpbmFsLzEvMjAyNC0wMi0wN1QxOSUzQTE3JTNBMDYuNjU0Mjg5JTJCMDAlM0EwMC8xNzA5NV8xLnBuZw==.png;https://imgproxy.sbermarket.ru/imgproxy/size-220-220-2x/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE3MDk1L29yaWdpbmFsLzEvMjAyNC0wMi0wN1QxOSUzQTE3JTNBMDYuNjU0Mjg5JTJCMDAlM0EwMC8xNzA5NV8xLnBuZw==.png;Цена со скидкой за 1 шт.139,00 ₽;Цена без скидки за 1 шт.159,01 ₽
